movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
716309,Kill,Rodger Griffiths,"Rob Drummond, Rodger Griffiths","Daniel Portman, Brian Vernel, Calum Ross",The story centres on three brothers and their violent father who live in a remote forest. The brothers attempt to kill their father while on a hunting expedition but this instead begins a deadly game of cat-and-mouse.,movie_posters/716309.jpg,2024 | Thriller/Horror/Drama | 1h 34m,480,100
1183905,Trunk - Locked In,Marc Schießer,Marc Schießer,"Sina Martens, Artjom Gilz, Luise Helm","28-year-old medicine student Malina wakes up disoriented in a locked trunk and realizes, to her horror, that she is missing more than just her memory of what happened. With her phone as the only link to the outside world, the intelligent young woman wages a desperate fight for survival while the vehicle races relentlessly toward a terrible secret.",movie_posters/1183905.jpg,2023 | Thriller/Action/Drama | 1h 36m,606,100
420622,Professor Marston and the Wonder Women,Angela Robinson,Angela Robinson,"Luke Evans, Rebecca Hall, Bella Heathcote","The unconventional life of Dr. William Marston, the Harvard psychologist and inventor who helped invent the modern lie detector test and created Wonder Woman in 1941.",movie_posters/420622.jpg,2017 | Drama/Romance | 1h 48m,720,100
1393614,Suspicion,Tosin Igho,Tosin Igho,"Stan Nze, Richard Mofe-Damijo, Boma Akpore","A young man delves into the sinister world of black magic after the brutal murder of his best friend and his daughter. As he hunts for vengeance, he faces moral dilemmas and shocking betrayals that threaten to shatter his closest relationships. In this gripping tale of friendship, love and revenge, he must confront his newfound powers and decide how far he's willing to go to deliver justice.",movie_posters/1393614.jpg,2024 | Crime/Horror/Thriller | 1h 55m,420,100
583406,Judas and the Black Messiah,Shaka King,"Will Berson, Shaka King, Will Berson, Kenneth Lucas, Keith Lucas, Shaka King, Tiara Thomas, H.E.R.","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons",Bill O'Neal infiltrates the Black Panthers on the orders of FBI Agent Mitchell and J. Edgar Hoover. As Black Panther Chairman Fred Hampton ascends—falling for a fellow revolutionary en route—a battle wages for O’Neal’s soul.,movie_posters/583406.jpg,2021 | Drama/History | 2h 6m,731.8,100
103731,Mud,Jeff Nichols,Jeff Nichols,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan",Two teenage boys find a fugitive hiding out on an island in the Mississippi River and help him reunite with his lover and escape an avenging family and their armed posse.,movie_posters/103731.jpg,2013 | Drama | 2h 10m,705.8,100
10618,Once Upon a Time in China II,Tsui Hark,"Tsui Hark, Tin-suen Chan, Charcoal Tan","Jet Li, Rosamund Kwan, Max Mok","Wong Fei-Hung faces the White Lotus Society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese who follow Western ways. Wong must also defend Dr. Sun Yat Sen, a revolutionary, from the military.",movie_posters/10618.jpg,1992 | Action/Comedy | 1h 53m,714.6,100
332411,I Am Wrath,Chuck Russell,"Paul Sloan, Yvan Gauthier","John Travolta, Christopher Meloni, Amanda Schull",A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,movie_posters/332411.jpg,2016 | Action/Crime/Drama/Thriller | 1h 32m,565.6,100
965143,Cyber Hell: Exposing an Internet Horror,Choi Jin-sung,Choi Jin-sung,,"Anonymous and exploitative, a network of online chat rooms ran rampant with sex crimes. The hunt to take down its operators required guts and tenacity.",movie_posters/965143.jpg,2022 | Documentary/Crime | 1h 45m,720.7,100
1038263,Maria,Pablo Larraín,Steven Knight,"Angelina Jolie, Pierfrancesco Favino, Alba Rohrwacher","Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity and life.",movie_posters/1038263.jpg,2024 | History/Drama/Music | 2h 2m,646.9,100
533444,Waves,Trey Edward Shults,Trey Edward Shults,"Kelvin Harrison, Jr., Taylor Russell, Renée Elise Goldsberry",A controlling father’s attempts to ensure that his two children succeed in high school backfire after his son experiences a career-ending sports injury. Their familial bonds are eventually placed under severe strain by an unexpected tragedy.,movie_posters/533444.jpg,2019 | Romance/Drama | 2h 15m,738.9,100
287947,Shazam!,David F. Sandberg,"Henry Gayden, Bill Parker, C.C. Beck, Darren Lemke, Henry Gayden","Zachary Levi, Mark Strong, Asher Angel",A boy is given the ability to become an adult superhero in times of need with a single magic word.,movie_posters/287947.jpg,2019 | Action/Comedy/Fantasy | 2h 12m,699.3,100
784651,Fighter,Siddharth Anand,"Ramon Chibb, Abbas Dalal, Siddharth Anand, Ramon Chibb, Hussain Dalal, Kumaar, Biswapati Sarkar, Radhakrishna Acharya","Hrithik Roshan, Deepika Padukone, Anil Kapoor","As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons.",movie_posters/784651.jpg,2024 | Action/Drama | 2h 47m,610,100
1102493,Small Things Like These,Tim Mielants,"Enda Walsh, Claire Keegan","Cillian Murphy, Emily Watson, Michelle Fairley","In 1985, while working as a coal merchant to support his family, Bill Furlong discovers disturbing secrets kept by the local convent and uncovers truths of his own; forcing him to confront his past and the complicit silence of a small Irish town controlled by the Catholic Church.",movie_posters/1102493.jpg,2024 | Drama/History | 1h 39m,672.7,100
1458319,How to Train Your Dragon 2,Dean DeBlois,Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler",The second live-action adaptation of the animated trilogy.,movie_posters/1458319.jpg,2027 | Fantasy/Adventure/Family/Action | 0m,800,100
526896,Morbius,Daniel Espinosa,"Matt Sazama, Burk Sharpless, Burk Sharpless, Matt Sazama","Jared Leto, Matt Smith, Adria Arjona","Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.",movie_posters/526896.jpg,2022 | Action/Science Fiction/Fantasy | 1h 45m,596,100
1288070,The Luckiest Man in America,Samir Oliveros,"Samir Oliveros, Maggie Briggs","Paul Walter Hauser, Walton Goggins, Shamier Anderson","1984; Michael Larson, an unemployed ice-cream truck driver from Ohio, steps onto the game show ""Press Your Luck"" harboring a secret: the key to endless amounts of money. But his winning streak is threatened when the executives in the control room start to uncover his real motivations.",movie_posters/1288070.jpg,2025 | Drama/Thriller | 1h 30m,670,100
